image_path,text,variant_idx,severity_label,severity_encoded,split
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0025.JPEG,"A deformation has been observed in the center of the front bumper, which is composed of plastic. The adjacent head may also show signs of misalignment due to this damage.",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0146.JPEG,"The left side of the rear bumper exhibits deformation, with visible distortion in the plastic material. The adjacent rear fender shows no noticeable impact but is closely aligned with the affected area of the bumper.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0256.JPEG,"The front bumper exhibits deformation at its center. The visible material is metal, which appears to have been impacted, resulting in an altered shape. Further inspection may be warranted to assess the extent of this deformation tbh",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0060.JPEG,"Inspection reveals that the right side of the plastic front bumper exhibits deformation. The fender, located nearby, shows indications of related impact.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\images (80).jpeg,"A dent is observed on the rear bumper, specifically located at the center right section. The material of the bumper is metal, with the deformation clearly visible upon inspection basically",0,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (52).jpeg,"A dent is present at the center of the rear fender. The damage has resulted in a visible deformation of the metal material, altering the original contour of the fender.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\f5cd0b1161fd43a6bef6f80971e6689c_thb.jpg,"The front bumper has been deformed in its entirety, with visible damage to both metal and plastic materials. The hood also shows signs of misalignment that correspond with the bumper's condition.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0046.JPEG,"Noted on the rear door is a dent found at the center. This deformation is apparent on the metal material, altering its original shape.",2,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0047.JPEG,The rear window has been observed to be shattered across its entire surface. Glass fragments are visible and the integrity of the component has been compromised. Replacement of the window is recommended to restore functionality.,0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (24).jpeg,A dent is observed on the center and lower edge of the door. The damage is present on a metal surface. No other visible impairments are noted in the surrounding areas.,0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\download (14).jpeg,"Observations indicate that the front bumper's center is deformed. The metal structure has been compromised, with proximity to the hood indicating further implications of the impact.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0250.JPEG,"A deformation was observed on the rear edge of the rear quarter panel. The damage has affected the metal material, resulting in an alteration of the panel's original shape.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0274.JPEG,"Noted deformation at the center of the front bumper. The visible material is metal, which has undergone a change in form. Surrounding areas of the bumper remain unaffected.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\download (13).jpeg,"Noted on the inspection report is a dent found in the middle section of the side door. The affected area is comprised of metal, which is currently deformed. Visual assessment shows no additional anomalies.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0038.JPEG,"The rear bumper exhibits deformation on the right side, with visible damage to the plastic material. The rear quarter panel is also affected, showing signs of proximity to the deformed area.",0,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0013.JPEG,"Observations indicate that the center of the side panel has experienced deformation. The visible material is metal, which shows signs of a change in contour. Documentation of this condition is recommended for future reference.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (4).jpeg,"Scratches are present on the center of the rear quarter panel. The damage is visible on the paint surface, suggesting some wear and tear. The condition of the paint may need to be monitored.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0185.JPEG,"A scratch is present on the lower right section of the front bumper. The damage has affected the paint material, revealing the underlying surface. Inspection of this area indicates a disruption in the bumper's finish.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0112.JPEG,"The front bumper exhibits deformation at its center, with visible damage to the metal material. The bending is apparent, and the condition of the adjacent hood may also be affected by this deformation.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0069.JPEG,"A dent is noted at the center of the front door, which is made of metal. The rear door appears undamaged and retains its original condition. Visual inspection confirms the presence of both components.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0060.JPEG,"Inspection of the rear door reveals a noticeable dent located in the upper left area. The material of the door is identified as metal, and no other abnormalities are detected around the dent.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0083.JPEG,"Inspecting the front bumper, a dent is present in the center section. The bumper is made of plastic and shows signs of deformation. No other components appear to be impacted at this time basically",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0257.JPEG,"The left side of the rear bumper shows signs of deformation. The material is composed of metal, which indicates altered structural integrity in that area. The deformation is readily apparent from a casual observation.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0371.JPEG,"A dent is present on the center of the driver's side door. The damage has affected the metal exterior, resulting in a noticeable deformation. The integrity of the door remains intact despite the visible alteration.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0161.JPEG,"The front bumper exhibits deformation on the right side. The affected area comprises plastic material, which has been visibly altered from its original shape. This condition is noted for further assessment.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0104.JPEG,"Upon examination, the front fender shows signs of deformation located centrally. The metal structuer is affected, leading to observable alterations in the neighboring front door section.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (86).jpeg,"A deformation is present in the metal of the rear quarter panel, located at the center. This alteration has resulted in a noticeable change in the panel's structure. Inspection of surrounding areas is advised.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (46).jpeg,"The door exhibits a dent located at its center. This damage is visible on the metal surface, resulting in a noticeable depression. The integrity of the door's overall structure remains intact.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0053.JPEG,"Upon inspection, the rear window is noted to be shattered completely. Glass is broken and visible across the entire window. This state may necessitate replacement or further evaluation.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0033.JPEG,"Upon review, the hood shows a deformation located centrally. This deformation impacts the metal material, altering its flat profile. Further assessment indicates no additional damage in the surrounding areas.",2,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0008.JPEG,"Inspection reveals a dent situated in the center of the door. The metal material is visibly deformed, maintaining its overall structural integrity without any apparent breaks or cracks.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0183.JPEG,Inspection revealed a deformation on the lower left of the front bumper. The affected area is constructed from plastic and exhibits a change in surface contour.,1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0138.JPEG,"Inspection of the front fender reveals a dent located on the left side, where the metal material is affected. This dent is situated near the front bumper area.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0038.JPEG,"Inspection reveals a deformation on the right side of the rear bumper, which is made of plastic. The rear quarter panel has also been impacted, indicating a connection to the bumper damage basically",2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0232.JPEG,"The rear bumper has been obesrved to exhibit deformation along its entire surface. The material appears to be plastic, and the shape has been altered from its original form.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\images (43).jpeg,"Basically, inspection of the front bumper revealed a scratch positioned on the lower left side. The paint layer is disrupted, suggesting that friction or contact occurred. The surrounding area remains unaffected by this damage.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0239.JPEG,"The front bumper exhibits deformation on the right side. The damage is obserevd on the plastic material, which appears to have lost its original shape. Additionally, the adjacent head may also be affected by this deformation.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0314.JPEG,The upper section of the rear quarter panel exhibits noticeable deformation. The damage is visible and affects the metal material of the panel. Clear evidence of the alteration is present upon inspection.,0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0012.JPEG,"The left side of the rear bumper exhibits multiple scratches that have penetrated the paint layer. These markings are observable upon inspection, indicating contact with another surface.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\download (17).jpeg,"Inspection notes indicate that the rear section has undergone deformation throughout its entirety. The materials observed include metal, paint, and glass. There is potential interaction with the rear wheel as a result of this deformation.",2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0049.JPEG,"A dent has been observed on the rear quarter panel, located at the center of the component. The material of the panel is metal and the distortion is clearly visible.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0306.JPEG,"The front bumper exhibits a noticeable deformation at the center, primarily affecting the metal structure. The adjacent hood shows no visible damage but is in close proximity to the affected area tbh",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images - 2022-12-13T213955.297.jpeg,"In the center of the rear fender, a scratch is present. This has caused some paint to be removed, revealing the surface beneath. The extent of the paint damage is documented.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0099.JPEG,"Looking at the windshield, a crack is present in the lower left corner. The glass surface shows clear evidence of this damage, which may necessitate future attention. This detail has been recorded for follow-up basically",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\download (28).jpeg,"Inspection reveals that the front bumper is completely missing, allowing for direct observation of the metal and plastic. The front left fender is also visible and not affected by this absence.",2,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0255.JPEG,I noticed that the front bumper exhibits deformation at the center section. The damage is characterized by a noticeable bending of the metal material. This alteration in shape may affect the overall appearance of the vehicle.,0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\da7301dfd988492fb368ad5102fbf708_thb.jpg,"It looks like the front bumper exhibits deformation on the right side, with plastic material visibly distorted. Additionally, the right head component is affected by the displacement of the bumper.",0,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\images (24).jpeg,"The front bumper exhibits deformation at the center, causing a noticeable irregularity in its shape. The damage is observable on the metal surface, indicating a physical alteration from its intended form.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0074.JPEG,"Upon inspection, the front bumper displays noticeable deformation in the center region. The affected area consists of metal, which has changed its structural integrity.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0145.JPEG,"Inspection reveals a crack on the lower left area of the front bumper. This portion, composed of plastic, shows a break in the material that requires attention.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0384.JPEG,"The front fender exhibits deformation at the front edge, with visible metal material compromised. Additionally, there is an observable effect on the adjacent front door component.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\fd331abd8e3b4b17ab87268a356b1b5e_thb.jpg,"The cetner section of the hood exhibits noticeable deformation in the metal. Additionally, the front bumper appears adjacent to this damage, but there are no visible signs of impact on it.",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (40).jpeg,"The side panel exhibits deformation at its center, with metal material visibly altered. Additionally, the roof is noted as a secondary component affected in relation to this damage.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0067.JPEG,"The front bumper has a noticeable scratch located at the lower left area. The paint has been compromised, exposing the material beneath. This observation may require further attention.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0260.JPEG,"Noted is a deformation in the center of the front bumper. The bumper is composed of metal, which is visibly impacted. This warrants a closer examination to determine any further implications.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0089.JPEG,"Inspection reveals a central deformation on the front bumper, constructed of metal. The hood's surface may also bear some impact indicators due to its association with the affected bumper area.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\download (14).jpeg,There is noticeable deformation on the lower right section of the front bumper. The bumper is made of plastic and has been altered from its original shape. This may require attetnion to restore its functionality.,1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0064.jpeg,"A dent has been observed on the center of the metal door. The damage appears to have altered the surface contour, resulting in an indentation without breaking the material's integrity basically",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (93).jpeg,A dent is present in the center of the rear quarter panel. The damage has caused a noticeable indentation in the metal material. Further inspection may be required to assess any potential implications.,0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0142.JPEG,"Observations indicate that the rear bumper, composed of plastic, has sustained a dent located at its center. The dent affects the overall appearance of the bumper.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (93).jpeg,"The roof of the vehicle exhibits deformation in the center. The metal material has been impacted, resulting in a noticeable change in shape. Further inspection may be required to assess the extent of the deformation.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0107.JPEG,"There is a deformation present at the center of the hood. The damage affects the metal material visibly, altering its original shape.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images - 2022-12-12T151413.832.jpeg,The hood's front edge shows deformation in the metal structure. The physical change is noticeable and may require additional attention. The integrity of the metal may be affected by the observed deformation,2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0027.JPEG,"Scratches are present on the rear bumper, specifically in the center region. The paint has been compromised, showing signs of wear from potential contact. Additional evaluation could provide more context.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (8).jpeg,"Upon inspection, the entire side panel is deformed. The visible material is metal, showcasing changes in its structure.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0104.JPEG,"Notable deformation was observed on the front left fender. The metal material appears to have been compromised, resulting in a noticeable alteration of its shape. This condition may require further evaluation.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\download (10).jpeg,"A dent is present in the center of the front door, affecting the metal surface. The deformation is clearly visible and disrupts the otherwise smooth profile of the door.",0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0165.JPEG,"It looks like upon inspection, a dent was observed on the upper area of the rear quarter panel. The damage is present in the metal material, indicating a localized deformation without any visible paint loss.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0113.JPEG,"The front fender exhibits a dent located in the upper left area. The metal material is visibly altered, presenting an impression that modifies the fender's shape.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\download.jpeg,"Scratches were observed on the center of the rear fender. The paint on this area has been compromised, displaying visible wear. No additional damage to surrounding components was noted during the inspection.",0,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0293.JPEG,"Notably, the rear window has sustained shattering across its entire surface, leaving visible glass fragments. This indicates a complete failure of the window structure.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0248.JPEG,I noticed that a crack is observed across the entire surface of the side window. The glass material displays a fracture that compromises the structural integrity of the component. Further assessment is required to evaluate repair options.,0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0062.JPEG,"A deformation is noted in the center of the rear fender. This damage is present on the metal surface, indicating an impact that has altered its structure.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\download (7).jpeg,"The technician's assessment revealed a deformation in the center area of the metal hood. This deformity appears to be conencted to the front bumper, which shows signs of impact.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (106).jpeg,"A deformation is present at the center of the front bumper. The plastic has shifted from its original configuration, indicating a potential impact. This observation should be documented for further review tbh",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\images - 2022-12-13T215957.142.jpeg,"The side panel exhibits deformation at the center, with the underlying metal material readily visible. Additionally, the rear door is also affected, showing signs of alignment issues potentially related to the deformation observed in the side panel.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\0033.JPEG,"The lower center area of the rear bumper has been deformed, with plastic material clearly visible. This deformation is noticeable and has altered the integrity of the bumper's structure. Surrounding areas remain intact and show no signs of impact.",2,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0261.JPEG,"Notable dent located on the right side of the rear bumper. The plastic material displays an indentation, suggesting an impact has occurred. The overall integrity of the bumper remains to be assessed.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0094.JPEG,"The front bumper exhibits deformation at its central section. The metal material is visibly altered, indicating an impact. The structural integrity of the component appears to be affected by this alteration.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\images (75).jpeg,"I think at the center of the front bumper, deformation has been observed in the metal material. This alteration may also influence the surrounding hood area, indicating a possible impact. A detailed examination may be beneficial.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0045.JPEG,Hood damage is characterized by a central deformation in the metal component. The distortion is visible and may require appropriate corrective measures to restore the hood's original form. Observations are noted for future reference.,2,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0375.JPEG,"A deformation is noted on the center of the side door. The metal material is visibly affected, presenting a bent appearance. This condition warrants additional evaluation for potential implications.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\images - 2022-12-13T215956.441.jpeg,"Centered deformation has been observed on the front bumper, which is made of metal. The hood, located adjacent to the bumper, appears to have experienced some impact as well.",1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0040.JPEG,"Deformation is noted in the center of the front bumper, which is made of plastic. The hood is positioned near the damaged area and may be impacted in terms of fitment.",1,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0187.JPEG,"The rear bumper has been observed to exhibit deformation at its center. The material is plastic and is noticeably affected. Additionally, the rear component has been impacted as a result of this deformation.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\validation\02-moderate\0053.JPEG,"The rear door exhibits deformation at the center, where the metal material has been compromised. Additionally, the rear quarter panel shows signs of impact in proximity to the deformed area.",0,moderate,1,testing
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\53d79ee77e3e4a1ba50a0a5bcd06e2ae_thb.jpg,"Inspection of the front bumper reveals deformation located on the right side, characterized by alterations in the plastic material. The front fender also shows signs of impact, indicating proximity to the damaged area.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0194.JPEG,"Inspection reveals a deformation on the right side of the rear hatch, with visible damage to metal, plastic, and glass. The rear bumper appears adjacent to the affected hatch area.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0205.JPEG,"The rear bumper exhibits deformation on the left side. The material observed is plastic, which has been affected in proximity to the rear quarter panel. The alterations in shape are evident upon visual inspection.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0022.JPEG,"The rear quarter panel shows evidence of paint peeling centrally, exposing the metal material beneath. This situation warrants further examination for potential repainting or repair",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (7).jpeg,"Inspection of the door reveals a scratch at its center. The paint appears to be marked, exposing the base material. Documentation of this condition is recommended for future reference.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0095.JPEG,"The front bumper exhibits deformation at the center, with visible damage to the plastic material. The hood is also affected, indicating potential secondary impact in this area.",0,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0090.JPEG,The front bumper exhibits deformation at the center. The damage is observed on the plastic material and extends to the adjacent hood area.,0,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0122.JPEG,Noted deformation in the center of the front bumper during examination. The plastic material shows a noticeable change in contour. The front left wheel appears unaffected and maintains alignment with the vehicle body.,2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\validation\01-minor\images (69).jpeg,"The lower left portion of the door exhibits a scratch. The paint is visibly impacted, indicating some level of abrasion. The surrounding area remains unaffected by any additional damage.",1,minor,0,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0010.JPEG,"Technician's note: The roof is deformed throughout. The metal structure has been compromised, presenting a warped appearance that affects the flatness of the surface.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0156.JPEG,"Upon inspection, the front bumper exhibits detachment on its right side. The visible material is plastic, and there is observable alteration to the rear door, indicating a potential connection to the bumper's state.",1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\validation\03-severe\0019.JPEG,"The front bumper exhibits deformation at the center, with visible plastic material affected. The structural integrity of the bumper appears altered due to the observed deformation. Further inspection may be warranted to assess the overall condition.",0,severe,2,testing
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0137.JPEG,"Noticed some deformation on the front bumper, right at the center. The metal is showing and has been bent out of alignment. This detail might need attention during follow-up inspections.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\images (4).jpeg,"The rear quarter panel exhibits scratches located at the center section. The paint layer is visibly affected, indicating surface abrasions. Further inspection may be required to assess the extent of the damage.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\download (37).jpeg,"I think located at the center of the rear quarter panel, a dent is present. This dent has caused a deformation in the metal material of the panel. The integrity of the surrounding components appears unaffected.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0343.JPEG,"Upon inspection, the front bumper has been deformed in the center area, displaying metal as the damaged material. The change in form is apparent. Ongoing evaluation may be needed for thorough understanding.",2,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\images (38).jpeg,Not sure but a dent is present at the center of the plastic front bumper. The damage appears to have resulted in a noticeable indentation.,1,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0198.JPEG,"The rear door exhibits a dent located at the center. This damage is evident on the metal surface, which has been altered. Additionally, the rear wheel arch is adjacent to this affected area.",0,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0018.JPEG,"Noted is the condition of the rear windshield, which exhibits a shattering effect at the center. Glass is visibly broken, affecting the overall structure of the component.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0169.JPEG,"The center of the hood displays a scratch that has compromised the paint layer. The affected area is clearly visible, indicating the need for potential surface treatment. No further damage is apparent.",1,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\02-moderate\0252.JPEG,"Inspection reveals that the right side of the front bumper has sustained deformation. The visible metal material shows a bent configuration, impacting the bumper's structural integrity.",2,moderate,1,training
C:\D_Folder\Defect seviority dataset\dataset\training\03-severe\0360.JPEG,Inspection revealed a dent located centrally on the rear door made of metal. The nearby rear quarter panel shows no indications of damage.,1,severe,2,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0167.JPEG,"Inspection of the rear bumper reveals that the center section has been deformed. The plastic material is visibly impacted, indicating a change in its structural form.",2,minor,0,training
C:\D_Folder\Defect seviority dataset\dataset\training\01-minor\0161.JPEG,"A dent is present in the center of the rear fender. The damage is located on the metal surface, altering its original shape and appearance.",0,minor,0,training
